[10/8/2012] [16:4:38] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: 3 3 3 3
[10/8/2012] [16:4:38] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: 2
[10/8/2012] [16:17:43] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: 2
[10/8/2012] [16:41:31] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: 2
[11/8/2012] [9:17:22] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: ..
[11/8/2012] [9:17:22] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: 1
[11/8/2012] [9:24:26] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: ..
[11/8/2012] [9:24:26] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: ..
[11/8/2012] [9:40:36] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: .
[11/8/2012] [9:43:5] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: .
[11/8/2012] [9:43:5] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: ..
[11/8/2012] [9:43:5] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: ..
[11/8/2012] [9:54:36] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: teste
[11/8/2012] [20:46:37] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: khcabhdkbad
[14/8/2012] [18:27:51] dimmy_scarface2 IP:127.0.0.1 foi banido pelo admin dimmy_scarface2, motivo: Terceiro aviso
[21/8/2012] [15:44:12] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: ...
[5/9/2012] [0:31:23] dimmy_scarfacehh IP:127.0.0.1 foi banido pelo admin Automatico, motivo: Logado na RCON
[5/9/2012] [14:6:58] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: 0 0
[5/9/2012] [17:7:8] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: 0 0 0
[8/9/2012] [21:54:34] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: oi
[11/9/2012] [18:47:45] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: olá
[11/9/2012] [19:5:53] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: test999
[15/9/2012] [19:23:43] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: 11
[19/9/2012] [12:1:29] dimmy_scarface IP:127.0.0.1 foi banido pelo admin dimmy_scarface, motivo: te
