[17:59:27] [INFO] received Windows console close event; shutting log-core down
[18:00:23] [INFO] received Windows console close event; shutting log-core down
[18:01:07] [INFO] received Windows console close event; shutting log-core down
[18:02:40] [INFO] received Windows console close event; shutting log-core down
[18:02:46] [INFO] received Windows console close event; shutting log-core down
[18:05:50] [INFO] received Windows console close event; shutting log-core down
[22:54:49] [INFO] received Windows console close event; shutting log-core down
[22:57:18] [INFO] received Windows console close event; shutting log-core down
[22:59:45] [INFO] received Windows console close event; shutting log-core down
[23:03:01] [INFO] received Windows console close event; shutting log-core down
[23:09:17] [INFO] received Windows console close event; shutting log-core down
[01:01:06] [INFO] received Windows console close event; shutting log-core down
[01:12:15] [INFO] received Windows console close event; shutting log-core down
[01:23:58] [INFO] received Windows console close event; shutting log-core down
[19:43:49] [INFO] received Windows console close event; shutting log-core down
[19:48:15] [INFO] received Windows console close event; shutting log-core down
[20:04:23] [INFO] received Windows console close event; shutting log-core down
[20:08:08] [INFO] received Windows console close event; shutting log-core down
[19:36:14] [INFO] received Windows console close event; shutting log-core down
[16:14:45] [INFO] received Windows console close event; shutting log-core down
[16:17:07] [INFO] received Windows console close event; shutting log-core down
[16:19:01] [INFO] received Windows console close event; shutting log-core down
[16:21:38] [INFO] received Windows console close event; shutting log-core down
[16:28:23] [INFO] received Windows console close event; shutting log-core down
[16:33:58] [INFO] received Windows console close event; shutting log-core down
[16:35:40] [INFO] received Windows console close event; shutting log-core down
[16:53:03] [INFO] received Windows console close event; shutting log-core down
[16:56:51] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:05:37] [INFO] received Windows console close event; shutting log-core down
[17:10:00] [INFO] received Windows console close event; shutting log-core down
[17:14:58] [INFO] received Windows console close event; shutting log-core down
[17:16:47] [INFO] received Windows console close event; shutting log-core down
[17:22:46] [INFO] received Windows console close event; shutting log-core down
[17:27:42] [INFO] received Windows console close event; shutting log-core down
[02:33:22] [INFO] received Windows console close event; shutting log-core down
[02:44:43] [INFO] received Windows console close event; shutting log-core down
[18:05:07] [INFO] received Windows console close event; shutting log-core down
[21:22:29] [INFO] received Windows console close event; shutting log-core down
[22:52:49] [INFO] received Windows console close event; shutting log-core down
[23:24:12] [INFO] received Windows console close event; shutting log-core down
[02:11:33] [INFO] received Windows console close event; shutting log-core down
[02:25:46] [INFO] received Windows console close event; shutting log-core down
